term	realization	matches	good	total	precision	kept	example_failure	example_failure_bound_words
kiss someone's ass	clitic	7	6	7	0.86	yes	Kissing her ass when she was little.	Kissing … her … ass
live one	clitic	7	4	7	0.57	no	Maybe he should have lived it up.	lived … it
on one's own	filled	7	6	7	0.86	yes	A stone is heavy on its own turf.	on … own … turf
one's days are numbered	clitic	7	7	7	1.00	yes		
pull oneself together	clitic	7	7	7	1.00	yes		
pull oneself together	filled	7	7	7	1.00	yes		
pull someone's leg	clitic	7	6	7	0.86	yes	Pulled off her leg.	Pulled … her … leg
run for one's life	clitic	7	7	7	1.00	yes		
shift one's tides	clitic	7	0	7	0.00	no	Are you still joining us after your shift?	your … shift
speak someone's language	clitic	7	5	7	0.71	yes	Do you speak my language?	speak … my … language
stick one's tongue out	clitic	7	7	7	1.00	yes		
stick out one's tongue	clitic	7	7	7	1.00	yes		
sugar in one's tank	filled	7	0	7	0.00	no	A diabetic has too much sugar in his blood and in his urine.	sugar … in … blood
talk through one's ass	clitic	7	0	7	0.00	no	He needs a few jokes to lighten up his talk.	his … talk
thumb one's nose	clitic	7	0	7	0.00	no	I cut my thumb, but she fixed it.	my … thumb
trust someone to	clitic	7	7	7	1.00	yes		
wait one's turn	clitic	7	7	7	1.00	yes		
with one's bare hands	clitic	7	7	7	1.00	yes		
bite one's thumb	filled	6	0	6	0.00	no	A bite of heaven, on earth.	bite … heaven
bite one's tongue	filled	6	0	6	0.00	no	A bite of heaven, on earth.	bite … heaven
change one's ways	clitic	6	4	6	0.67	yes	It is hard for an old man to change his way of thinking.	change … his … way
come one's way	filled	6	0	6	0.00	no	He came to London by way of Siberia.	came … way … Siberia
do one's part	clitic	6	6	6	1.00	yes		
drop someone a line	filled	6	6	6	1.00	yes		
fill one's hand	clitic	6	0	6	0.00	no	Better eat your fill.	your … fill
find one's place	filled	6	3	6	0.50	no	Hold the books for a moment while I find a place for them.	find … place … them
follow one's heart	clitic	6	6	6	1.00	yes		
fruit of one's loins	filled	6	1	6	0.17	no	And the fruit of sin that we feared.	fruit … of … sin
get someone's back	clitic	6	5	6	0.83	yes	Get your back against the fence.	Get … your … back
give someone a ring	filled	6	4	6	0.67	yes	Her fiancé gave her a very big ring.	gave … her … a … ring
give something a go	filled	6	3	6	0.50	no	Give Mossy a go first, will you?	Give … Mossy … a … go
have someone's head	filled	6	0	6	0.00	no	And he had this full head of steam.	had … head … steam
in one's book	clitic	6	1	6	0.17	no	In your book, you hope to end the divide between the normal and the marginal.	In … your … book
in something's way	filled	6	0	6	0.00	no	Each person must make his or her way in the world.	way … in … world
live beyond one's means	clitic	6	6	6	1.00	yes		
meat on one's bones	clitic	6	0	6	0.00	no	Help me beat my meat.	my … meat
one's fill	clitic	6	6	6	1.00	yes		
pee oneself	filled	6	2	6	0.33	no	Car was shaking so much that I almost peed a little bit.	peed … bit
prove oneself	clitic	6	6	6	1.00	yes		
put something behind one	filled	6	2	6	0.33	no	Put your hands behind your back.	Put … hands … behind … back
raise one's head	clitic	6	6	6	1.00	yes		
refresh someone's memory	clitic	6	6	6	1.00	yes		
serve someone right	clitic	6	6	6	1.00	yes		
show one's hand	clitic	6	0	6	0.00	no	Show Tom your hands.	Show … your … hands
stretch one's legs	clitic	6	3	6	0.50	no	Mary stretched her legs.	stretched … her … legs
watch one's back	clitic	6	6	6	1.00	yes		
with all one's might	clitic	6	6	6	1.00	yes		
against someone's will	clitic	5	5	5	1.00	yes		
at one's risk	filled	5	5	5	1.00	yes		
be oneself	clitic	5	4	5	0.80	yes	Someone you aspire to be yourself.	be … yourself
before one's eyes	clitic	5	5	5	1.00	yes		
believe one's eyes	clitic	5	5	5	1.00	yes		
bet one's ass	filled	5	0	5	0.00	no	He made a bet with her.	bet … her
bird of one's own brain	clitic	5	0	5	0.00	no	My bird sings so beautifully.	My … bird
break one's fall	clitic	5	0	5	0.00	no	Check out my break!	my … break
break one's neck	clitic	5	1	5	0.20	no	A man could slip and break his neck!	break … his … neck
bust someone's balls	clitic	5	5	5	1.00	yes		
catch one's breath	clitic	5	5	5	1.00	yes		
cross someone's mind	clitic	5	5	5	1.00	yes		
cut someone slack	filled	5	5	5	1.00	yes		
cut someone some slack	filled	5	5	5	1.00	yes		
drive someone up the wall	filled	5	5	5	1.00	yes		
eat one's fill	clitic	5	5	5	1.00	yes		
end one's life	clitic	5	5	5	1.00	yes		
for one's part	clitic	5	5	5	1.00	yes		
get ahead of oneself	filled	5	2	5	0.40	no	I got a couple cars ahead of you.	got … ahead … of … you
go one's way	filled	5	0	5	0.00	no	Am I going the right way to Tomshino?	going … way … Tomshino
go one's ways	filled	5	0	5	0.00	no	Am I going the right way to Tomshino?	going … way … Tomshino
handle oneself	clitic	5	5	5	1.00	yes		
have blood on one's hands	clitic	5	5	5	1.00	yes		
have one's work cut out	clitic	5	5	5	1.00	yes		
hold one's horses	clitic	5	5	5	1.00	yes		
knock one out	clitic	5	5	5	1.00	yes		
let something slip	filled	5	3	5	0.60	yes	Let me slip into something more comfortable.	Let … me … slip
lick one's lips	clitic	5	5	5	1.00	yes		
of one's word	filled	5	0	5	0.00	no	A lot of words in Toki Pona can mean different things.	of … words … Toki Pona
off one's face	clitic	5	0	5	0.00	no	He wiped the sweat off his face.	off … his … face
on one's conscience	clitic	5	5	5	1.00	yes		
on one's guard	clitic	5	5	5	1.00	yes		
on one's plate	clitic	5	3	5	0.60	yes	Eat everything on your plate.	on … your … plate
on one's watch	clitic	5	4	5	0.80	yes	What time do you have on your watch?	on … your … watch
play one's part	clitic	5	5	5	1.00	yes		
redeem oneself	filled	5	1	5	0.20	no	Fear of death alone does not redeem sins.	redeem … sins
speak one's mind	clitic	5	5	5	1.00	yes		
stick to one's last	clitic	5	0	5	0.00	no	He beat on a drunken man with his stick.	his … stick
swallow one's pride	clitic	5	5	5	1.00	yes		
take one's own life	clitic	5	5	5	1.00	yes		
top of one's class	clitic	5	5	5	1.00	yes		
victim of one's own success	clitic	5	0	5	0.00	no	Authority corrupts its holder and debases its victims.	its … victims
watch one's tongue	filled	5	0	5	0.00	no	And thee, I told thee to keep watch of Jonas and Mercy.	watch … Jonas
wipe someone's nose	clitic	5	5	5	1.00	yes		
with one's eyes open	clitic	5	0	5	0.00	no	I have lain in bed with my eyes open.	with … my … eyes … open
words fail someone	filled	5	5	5	1.00	yes		
all over oneself	filled	4	0	4	0.00	no	All over me.	All … over … me
ants in one's pants	clitic	4	4	4	1.00	yes		
at one's best	clitic	4	4	4	1.00	yes		
at one's leisure	clitic	4	4	4	1.00	yes		
at the top of one's lungs	clitic	4	4	4	1.00	yes		
back of one's hand	clitic	4	4	4	1.00	yes		
be on one's beanwater	clitic	4	0	4	0.00	no	He speaks a little bit, all of his time is taken up by his farm work.	his … is
be on one's bullshit	clitic	4	0	4	0.00	no	He speaks a little bit, all of his time is taken up by his farm work.	his … is
be on someone's dick	clitic	4	0	4	0.00	no	He speaks a little bit, all of his time is taken up by his farm work.	his … is
blow someone's brains out	clitic	4	4	4	1.00	yes		
close one's doors	clitic	4	1	4	0.25	no	Close my door.	Close … my … door
come to someone's rescue	clitic	4	4	4	1.00	yes		
dry one's eyes	clitic	4	4	4	1.00	yes		
eat one's dinners	clitic	4	4	4	1.00	yes		
eat someone alive	filled	4	4	4	1.00	yes		
feel someone's pain	clitic	4	4	4	1.00	yes		
fold one's arms	clitic	4	4	4	1.00	yes		
gather oneself together	filled	4	0	4	0.00	no	Gather them together.	Gather … them … together
get someone there	clitic	4	4	4	1.00	yes		
give one's best	clitic	4	4	4	1.00	yes		
give someone the bag	filled	4	4	4	1.00	yes		
go out of one's way	clitic	4	4	4	1.00	yes		
good on someone	filled	4	2	4	0.50	no	Dickens is so good on actual jokes, actual gags.	good … on … jokes
have someone's ear	filled	4	0	4	0.00	no	He has a good ear for music.	has … ear … music
hold one's tongue	clitic	4	4	4	1.00	yes		
hold oneself together	filled	4	3	4	0.75	yes	Hold the two handsets together.	Hold … handsets … together
in one's teens	clitic	4	4	4	1.00	yes		
in someone's eyes	filled	4	3	4	0.75	yes	You were just a sparkle in the eye of a sailor, right?	in … eye … sailor
keep one's voice down	clitic	4	4	4	1.00	yes		
keep someone company	clitic	4	4	4	1.00	yes		
know like the back of one's hand	clitic	4	4	4	1.00	yes		
know someone when	filled	4	0	4	0.00	no	And when we know the world, the world is ours.	when … know … world
let one loose	filled	4	4	4	1.00	yes		
let someone loose	filled	4	4	4	1.00	yes		
live within oneself	filled	4	0	4	0.00	no	He lives within his means.	lives … within … means
love of one's life	clitic	4	4	4	1.00	yes		
make someone's day	clitic	4	4	4	1.00	yes		
make someone's skin crawl	clitic	4	4	4	1.00	yes		
of someone's life	filled	4	2	4	0.50	no	The movie is a harrowing depiction of life in an urban slum.	of … life … slum
off one's rocker	clitic	4	4	4	1.00	yes		
off someone's hands	clitic	4	3	4	0.75	yes	She washed the blood off her hands.	off … her … hands
on one's back	filled	4	2	4	0.50	no	Did you see what I put on the back of the car?	on … back … car
on one's mark	clitic	4	4	4	1.00	yes		
on someone's account	clitic	4	2	4	0.50	no	I put three on your account.	on … your … account
on someone's ass	clitic	4	2	4	0.50	no	On your asses, bastards!	On … your … asses
on someone's back	filled	4	0	4	0.00	no	Did you see what I put on the back of the car?	on … back … car
open one's heart	clitic	4	4	4	1.00	yes		
open one's mind	clitic	4	4	4	1.00	yes		
pass one's word	filled	4	0	4	0.00	no	A pass to Cuauhtemoc Which stops it.	pass … Cuauhtemoc
pay one's respects	clitic	4	4	4	1.00	yes		
price on someone's head	filled	4	2	4	0.50	no	Well, hard to put a price on it.	price … on … it
put one's foot down	clitic	4	4	4	1.00	yes		
put oneself in someone's shoes	clitic	4	4	4	1.00	yes		
put someone in a box	filled	4	4	4	1.00	yes		
raise one's glass	clitic	4	4	4	1.00	yes		
read someone's mind	clitic	4	4	4	1.00	yes		
say one's prayers	clitic	4	4	4	1.00	yes		
say someone's prayers	clitic	4	4	4	1.00	yes		
scare someone to death	filled	4	3	4	0.75	yes	Scaring me half to death!	Scaring … me … to … death
sell one's soul to the devil	clitic	4	4	4	1.00	yes		
show one's ass	clitic	4	0	4	0.00	no	Show me your ass.	Show … your … ass
shut one's trap	clitic	4	4	4	1.00	yes		
slip off someone's tongue	clitic	4	0	4	0.00	no	Bring your pay slips?	your … slips
slip one's wind	clitic	4	0	4	0.00	no	Bring your pay slips?	your … slips
stare someone in the face	filled	4	4	4	1.00	yes		
stuck on oneself	filled	4	3	4	0.75	yes	Dang door stuck on me.	stuck … on … me
suck someone's cock	clitic	4	4	4	1.00	yes		
take one's leave	clitic	4	4	4	1.00	yes		
take one's turn	filled	4	0	4	0.00	no	Here is my take on the matter.	take … matter
that'll teach someone	filled	4	3	4	0.75	yes	The same person that taught me this.	that … taught … this
the sun sets on something	filled	4	1	4	0.25	no	The sun is setting on the horizon.	The … sun … setting … on … horizon
tip one's hat	clitic	4	4	4	1.00	yes		
to one's rescue	clitic	4	4	4	1.00	yes		
to save one's life	clitic	4	4	4	1.00	yes		
trip over oneself	filled	4	1	4	0.25	no	Be careful not to trip over this rock.	trip … over … rock
use one's coconut	clitic	4	0	4	0.00	no	All this is for my personal use.	my … use
what someone is made of	filled	4	1	4	0.25	no	Of what is the spirit made?	Of … what … is … spirit … made
bang for one's buck	clitic	3	3	3	1.00	yes		
beat someone's time	filled	3	0	3	0.00	no	I tap my foot to the beat of the music.	beat … music
blow someone's mind	clitic	3	3	3	1.00	yes		
break one's back	clitic	3	1	3	0.33	no	I broke my back.	broke … my … back
break one's fall	filled	3	0	3	0.00	no	Do you have some kind of, what, break in the case?	break … case
break someone's back	clitic	3	1	3	0.33	no	I broke my back.	broke … my … back
cat got someone's tongue	clitic	3	3	3	1.00	yes		
catch someone's drift	clitic	3	3	3	1.00	yes		
change one's spots	clitic	3	3	3	1.00	yes		
clench one's fists	clitic	3	3	3	1.00	yes		
close one's doors	filled	3	0	3	0.00	no	Did you close the door to your bedroom?	close … door … bedroom
come one's way	clitic	3	2	3	0.67	yes	On her way home, Mary came across John.	her … way … came
cover one's tracks	clitic	3	3	3	1.00	yes		
crack one	clitic	3	1	3	0.33	no	Man you got to warn somebody before you just crack one off.	crack … one
crap oneself	filled	3	2	3	0.67	yes	Because I was so scared that I was literally crapping liquid in my pants.	crapping … liquid
cross one's arms	clitic	3	3	3	1.00	yes		
cross one's fingers	clitic	3	3	3	1.00	yes		
cut of one's jib	clitic	3	0	3	0.00	no	Hey, my cut is gone!	my … cut
do one's best	filled	3	0	3	0.00	no	It was bigger than anything you fucking ever did.	anything … did
do one's damnedest	filled	3	0	3	0.00	no	It was bigger than anything you fucking ever did.	anything … did
do one's utmost	clitic	3	3	3	1.00	yes		
do well for oneself	filled	3	0	3	0.00	no	I have to do better, for everybody.	do … better … for … everybody
drive someone insane	filled	3	3	3	1.00	yes		
fall off one's chair	clitic	3	0	3	0.00	no	An awning broke his fall and saved his life.	his … fall
fall off one's perch	clitic	3	0	3	0.00	no	An awning broke his fall and saved his life.	his … fall
fall on one's face	clitic	3	0	3	0.00	no	An awning broke his fall and saved his life.	his … fall
fall on one's feet	clitic	3	0	3	0.00	no	An awning broke his fall and saved his life.	his … fall
fall over one's feet	clitic	3	0	3	0.00	no	An awning broke his fall and saved his life.	his … fall
fall to one's knees	clitic	3	3	3	1.00	yes		
fend for oneself	filled	3	3	3	1.00	yes		
find one's place	clitic	3	0	3	0.00	no	Find your own place to hide!	Find … your … place
float someone's boat	clitic	3	3	3	1.00	yes		
for one's heart	clitic	3	1	3	0.33	no	I was aiming for your heart.	for … your … heart
frame one	clitic	3	2	3	0.67	yes	Just in case you wanna frame it.	frame … it
frog in one's pocket	filled	3	0	3	0.00	no	I have a frog in my throat.	frog … in … throat
frog in one's throat	filled	3	2	3	0.67	yes	You always say there are only frogs in our class.	frogs … in … class
get off someone's back	clitic	3	3	3	1.00	yes		
get one's	filled	3	0	3	0.00	no	All they got from Paulie was protection from other guys looking to rip them off.	All … got
get one's hands dirty	clitic	3	1	3	0.33	no	I got my hands quite dirty.	got … my … hands … dirty
get one's hopes up	clitic	3	3	3	1.00	yes		
get one's jollies	filled	3	0	3	0.00	no	All they got from Paulie was protection from other guys looking to rip them off.	All … got
get one's kicks	filled	3	0	3	0.00	no	He gets a kick out of reckless driving.	gets … kick … driving
get one's shit together	clitic	3	3	3	1.00	yes		
get something over with	filled	3	3	3	1.00	yes		
give of oneself	filled	3	0	3	0.00	no	Have you given any more thought to what we spoke of?	given … what … of
give one's word	filled	3	3	3	1.00	yes		
give someone five	filled	3	0	3	0.00	no	If he gets violent, give him five of them.	give … him … five
give someone the eye	filled	3	1	3	0.33	no	She gave me the evil eye.	gave … me … the … eye
grit one's teeth	clitic	3	3	3	1.00	yes		
hang one's head	clitic	3	3	3	1.00	yes		
have someone's head	clitic	3	0	3	0.00	no	He had his head in the clouds in class.	had … his … head
head on one's shoulders	clitic	3	1	3	0.33	no	He has a head on his shoulders.	head … on … his … shoulders
hold one's ground	clitic	3	3	3	1.00	yes		
in one's sight	filled	3	3	3	1.00	yes		
in one's sights	filled	3	0	3	0.00	no	And walk in the ways of thine heart, and in the sight of thine eyes.	in … sight … eyes
in someone's day	clitic	3	3	3	1.00	yes		
in someone's view	filled	3	0	3	0.00	no	I came in view of the castle.	in … view … castle
keep one's countenance	clitic	3	0	3	0.00	no	I earned my keep.	my … keep
keep one's eyes peeled	clitic	3	3	3	1.00	yes		
keep one's fingers crossed	clitic	3	0	3	0.00	no	I earned my keep.	my … keep
keep someone occupied	filled	3	3	3	1.00	yes		
keep someone posted	filled	3	3	3	1.00	yes		
keep to one's own knitting	clitic	3	0	3	0.00	no	I earned my keep.	my … keep
kick someone's butt	clitic	3	3	3	1.00	yes		
know one's mind	filled	3	0	3	0.00	no	Any of youse know how to cannulate?	Any … know
know one's place	clitic	3	3	3	1.00	yes		
last thing one needs	filled	3	3	3	1.00	yes		
laugh in someone's face	clitic	3	0	3	0.00	no	Her laugh was a lie that concealed her sorrow.	Her … laugh
leave someone cold	filled	3	3	3	1.00	yes		
leave someone no choice	filled	3	3	3	1.00	yes		
lose one's head	clitic	3	3	3	1.00	yes		
make one's bow	clitic	3	0	3	0.00	no	Do you mind my making a suggestion?	my … making
measure one's length	filled	3	0	3	0.00	no	I fear I cannot ever feel that same measure of love again.	measure … love
oar in someone's boat	clitic	3	0	3	0.00	no	Leave me alone and mind your oars!	your … oars
off one's face	filled	3	0	3	0.00	no	He disappeared off the face of the earth.	off … face … earth
on one's deathbed	clitic	3	3	3	1.00	yes		
on someone's books	clitic	3	1	3	0.33	no	Did you spill something on my book?	on … my … book
on someone's doorstep	clitic	3	3	3	1.00	yes		
on someone's tail	clitic	3	1	3	0.33	no	A big dog, sitting on its tail, was watching the fire.	on … its … tail
one could hear a pin drop	filled	3	3	3	1.00	yes		
one's door is open	clitic	3	3	3	1.00	yes		
one's hour	clitic	3	1	3	0.33	no	Why should they repair my office during my work hours!	my … hours
one's name is mud	clitic	3	3	3	1.00	yes		
one's word is law	clitic	3	3	3	1.00	yes		
owe it to oneself	filled	3	1	3	0.33	no	We owe it to them!	owe … it … to … them
pass in one's checks	clitic	3	0	3	0.00	no	My parents had our passes in pocket, but I took sick.	our … passes
pass one's word	clitic	3	0	3	0.00	no	My parents had our passes in pocket, but I took sick.	our … passes
pay one's way	clitic	3	2	3	0.67	yes	My grandmother paid my way to Boston.	paid … my … way
pay someone's way	clitic	3	3	3	1.00	yes		
pee in one's pants	clitic	3	0	3	0.00	no	My pee is black.	My … pee
pick one's nose	clitic	3	3	3	1.00	yes		
rod for one's breech	clitic	3	0	3	0.00	no	Give me your rod.	your … rod
roll one's eyes	clitic	3	3	3	1.00	yes		
send someone packing	filled	3	3	3	1.00	yes		
service oneself	filled	3	0	3	0.00	no	And have the air-conditioner serviced tomorrow.	conditioner … serviced
shoot oneself in the foot	filled	3	1	3	0.33	no	He shoots him in the foot, he tells him to go fuck himself.	shoots … him … in … the … foot
shut one's eyes	clitic	3	3	3	1.00	yes		
slap someone around	filled	3	3	3	1.00	yes		
sleep one off	filled	3	3	3	1.00	yes		
slip one's wind	filled	3	0	3	0.00	no	A slip of the tongue is sometimes fatal to a politician.	slip … tongue
slip someone's mind	clitic	3	3	3	1.00	yes		
somebody's in here	filled	3	3	3	1.00	yes		
spread one's legs	clitic	3	3	3	1.00	yes		
stand one's ground	clitic	3	3	3	1.00	yes		
stare someone in the face	clitic	3	3	3	1.00	yes		
take one up	clitic	3	1	3	0.33	no	I need to take you up to bed.	take … you … up
take someone to the grave	filled	3	3	3	1.00	yes		
take someone's word for it	clitic	3	3	3	1.00	yes		
tighten one's belt	clitic	3	3	3	1.00	yes		
time is on one's side	clitic	3	3	3	1.00	yes		
to one's advantage	clitic	3	3	3	1.00	yes		
turn one's back	filled	3	3	3	1.00	yes		
twist someone's balls	filled	3	0	3	0.00	no	All the good ones have a little twist in the tale.	twist … tale
under one's hat	clitic	3	3	3	1.00	yes		
watch one's language	clitic	3	3	3	1.00	yes		
wish someone well	filled	3	3	3	1.00	yes		
with one's eyes shut	clitic	3	2	3	0.67	yes	I have to wake up with my eyes shut!	with … my … eyes … shut
words fail someone	clitic	3	3	3	1.00	yes		
worth one's while	clitic	3	0	3	0.00	no	Another opportunity for one of the Shire-folk to prove their great worth.	their … worth
Earth to someone	filled	2	2	2	1.00	yes		
God love someone	filled	2	0	2	0.00	no	God loves me and watches over me.	God … loves … me
answer someone's prayers	clitic	2	2	2	1.00	yes		
assert oneself	filled	2	1	2	0.50	no	We must assert our right on your possessions.	assert … right
at someone's heels	clitic	2	2	2	1.00	yes		
bare one's soul	clitic	2	2	2	1.00	yes		
bash someone's head	clitic	2	2	2	1.00	yes		
be one's own worst enemy	clitic	2	2	2	1.00	yes		
beg for one's life	clitic	2	2	2	1.00	yes		
bite one's lip	clitic	2	2	2	1.00	yes		
bite one's nails	clitic	2	2	2	1.00	yes		
bite the hand that feeds one	clitic	2	2	2	1.00	yes		
bite the hand that feeds one	filled	2	2	2	1.00	yes		
blow up in one's face	clitic	2	2	2	1.00	yes		
break one's balls	clitic	2	2	2	1.00	yes		
break someone's balls	clitic	2	2	2	1.00	yes		
broaden someone's horizons	clitic	2	2	2	1.00	yes		
burn one's fingers	clitic	2	0	2	0.00	no	I burned my finger.	burned … my … finger
carry one's weight	filled	2	0	2	0.00	no	That one spring carries the whole weight of the car.	carries … weight … car
change one's ways	filled	2	0	2	0.00	no	It is hard for an old man to change his way of thinking.	change … way … thinking
chase one's tail	filled	2	0	2	0.00	no	A wild-goose chase over here at Nakatomi Plaza.	chase … Nakatomi Plaza
clear someone's name	clitic	2	2	2	1.00	yes		
clothes on one's back	filled	2	1	2	0.50	no	He had no clothes on him at all.	clothes … on … him
come to someone's aid	clitic	2	2	2	1.00	yes		
cross oneself	clitic	2	2	2	1.00	yes		
cross someone's path	clitic	2	2	2	1.00	yes		
cut one loose	filled	2	1	2	0.50	no	They had to call the paramedics to cut the prick loose.	cut … prick … loose
cut someone loose	filled	2	1	2	0.50	no	They had to call the paramedics to cut the prick loose.	cut … prick … loose
do one's bit	filled	2	0	2	0.00	no	I can do a bit of recording.	do … bit … recording
do one's business	filled	2	0	2	0.00	no	He does business in Turkey.	does … business … Turkey
do one's stuff	filled	2	0	2	0.00	no	Everybody does stupid stuff like that in high school.	does … stuff … that
do one's worst	clitic	2	2	2	1.00	yes		
do someone's business	filled	2	0	2	0.00	no	He does business in Turkey.	does … business … Turkey
does someone look like	filled	2	2	2	1.00	yes		
drag one's feet	clitic	2	2	2	1.00	yes		
drive someone mad	clitic	2	2	2	1.00	yes		
earn one's keep	clitic	2	2	2	1.00	yes		
eat someone alive	clitic	2	2	2	1.00	yes		
fall into someone's hands	filled	2	2	2	1.00	yes		
feel one's way	clitic	2	2	2	1.00	yes		
feel one's way	filled	2	0	2	0.00	no	Everybody feels that way sometimes.	feels … that … way
fight for one's life	clitic	2	2	2	1.00	yes		
figment of one's imagination	clitic	2	2	2	1.00	yes		
flex one's muscles	clitic	2	2	2	1.00	yes		
fool to oneself	clitic	2	2	2	1.00	yes		
for one's own good	clitic	2	2	2	1.00	yes		
for the life of one	clitic	2	2	2	1.00	yes		
for the life of one	filled	2	2	2	1.00	yes		
force someone's hand	clitic	2	2	2	1.00	yes		
get above oneself	filled	2	0	2	0.00	no	Get above him!	Get … above … him
get ahold of oneself	filled	2	0	2	0.00	no	Get ahold of it, tip it over, but not all the way.	Get … ahold … of … it
get on someone's wrong side	filled	2	0	2	0.00	no	He got up on the wrong side of the bed.	got … on … wrong … side … bed
get one's act together	clitic	2	2	2	1.00	yes		
get one's ass in gear	clitic	2	2	2	1.00	yes		
get one's head together	clitic	2	2	2	1.00	yes		
get someone's drift	clitic	2	2	2	1.00	yes		
get someone's goat	clitic	2	1	2	0.50	no	With motorcycle access only, tricky to get your goat there.	get … your … goat
get under someone's skin	clitic	2	2	2	1.00	yes		
give someone a hard time	filled	2	2	2	1.00	yes		
give someone the time	filled	2	1	2	0.50	no	Give me half the time you took to read a book!	Give … me … the … time
give something a try	clitic	2	2	2	1.00	yes		
go one's own way	clitic	2	2	2	1.00	yes		
go to someone's head	clitic	2	0	2	0.00	no	And you my go.	my … go
go with one's gut	clitic	2	0	2	0.00	no	And you my go.	my … go
go with one's gut	filled	2	0	2	0.00	no	Give him a go with gun powder!	go … with … powder
hang one's hat	clitic	2	0	2	0.00	no	He hung his hat on a nail.	hung … his … hat
have a head on one's shoulders	clitic	2	1	2	0.50	no	He has a head on his shoulders.	has … a … head … on … his … shoulders
have one's cake and eat it	clitic	2	2	2	1.00	yes		
have one's hands full	clitic	2	2	2	1.00	yes		
have someone's back	clitic	2	1	2	0.50	no	The old man had his back to me.	had … his … back
have tickets on oneself	filled	2	0	2	0.00	no	Do you have a cheap flight ticket on a domestic line?	have … ticket … on … line
hit one hard	clitic	2	1	2	0.50	no	I want you to hit me as hard as you can.	hit … me … hard
hold one's fire	clitic	2	1	2	0.50	no	Hold back your fire!	Hold … your … fire
hold one's nose	clitic	2	0	2	0.00	no	His hold over King Théoden is now very strong.	His … hold
hold one's peace	clitic	2	0	2	0.00	no	His hold over King Théoden is now very strong.	His … hold
in one's bones	clitic	2	1	2	0.50	no	My lowlife traits are like cancer in my bones.	in … my … bones
in one's cups	clitic	2	0	2	0.00	no	Could you pour some coffee in my cup?	in … my … cup
in one's midst	clitic	2	2	2	1.00	yes		
in one's midst	filled	2	0	2	0.00	no	In the midst of this, he saw somebody on the dark platform.	In … midst … this
in one's own time	clitic	2	2	2	1.00	yes		
in one's own world	clitic	2	2	2	1.00	yes		
in one's right mind	clitic	2	2	2	1.00	yes		
in someone's blood	filled	2	0	2	0.00	no	I am thine enemy, wallowing in the blood of my sins!	in … blood … sins
jog someone's memory	clitic	2	2	2	1.00	yes		
keep one's head down	clitic	2	1	2	0.50	no	Just keep your big head down, Shalulu!	keep … your … head … down
keep one's shirt on	clitic	2	2	2	1.00	yes		
keep someone guessing	filled	2	2	2	1.00	yes		
knock someone's head off	clitic	2	2	2	1.00	yes		
know one's place	filled	2	0	2	0.00	no	I know a good place for dinner.	know … place … dinner
know one's stuff	clitic	2	2	2	1.00	yes		
land on one's feet	clitic	2	0	2	0.00	no	A cat always lands on its feet.	lands … on … its … feet
laugh one's head off	clitic	2	2	2	1.00	yes		
lay one down	clitic	2	2	2	1.00	yes		
learn one's lesson	clitic	2	0	2	0.00	no	You have to learn your lesson.	learn … your … lesson
leave one's mark	filled	2	1	2	0.50	no	The vaccination left a funny little mark on my arm.	left … mark … arm
leave someone hanging	clitic	2	2	2	1.00	yes		
leave someone hanging	filled	2	2	2	1.00	yes		
leave someone in the lurch	filled	2	2	2	1.00	yes		
let one's guard down	clitic	2	2	2	1.00	yes		
let someone hold	clitic	2	1	2	0.50	no	Let me hold her!	Let … me … hold
let someone hold	filled	2	1	2	0.50	no	Let me hold her!	Let … me … hold
lie through one's teeth	clitic	2	2	2	1.00	yes		
lose one's cool	clitic	2	2	2	1.00	yes		
lose one's nerve	clitic	2	2	2	1.00	yes		
lose one's touch	clitic	2	2	2	1.00	yes		
lose one's virginity	clitic	2	2	2	1.00	yes		
make someone's acquaintance	clitic	2	2	2	1.00	yes		
make someone's blood boil	clitic	2	2	2	1.00	yes		
make someone's hair stand on end	clitic	2	2	2	1.00	yes		
meet one's end	clitic	2	2	2	1.00	yes		
off one's head	clitic	2	0	2	0.00	no	Her hat fell off her head.	off … her … head
on one's guard	filled	2	2	2	1.00	yes		
on one's part	clitic	2	2	2	1.00	yes		
on one's toes	clitic	2	1	2	0.50	no	Raise your arms in front of you and stand on your toes.	on … your … toes
on the tip of one's tongue	clitic	2	2	2	1.00	yes		
one's days are numbered	filled	2	2	2	1.00	yes		
one's door is open	filled	2	0	2	0.00	no	The door of the safe was open.	door … safe … was … open
one's lips are sealed	clitic	2	2	2	1.00	yes		
one's own boss	clitic	2	2	2	1.00	yes		
one's own master	clitic	2	1	2	0.50	no	Their own masters cannot find them if their secrets are forgotten.	Their … own … masters
out of someone's way	clitic	2	2	2	1.00	yes		
pay one's dues	clitic	2	0	2	0.00	no	I could pay my dues, and whatnot.	pay … my … dues
pay one's own way	clitic	2	2	2	1.00	yes		
pay one's respects	filled	2	2	2	1.00	yes		
pee one's pants	clitic	2	2	2	1.00	yes		
pee oneself	clitic	2	2	2	1.00	yes		
piece of someone	clitic	2	0	2	0.00	no	Have my piece of cake if you like.	my … piece
poke one's fun	filled	2	2	2	1.00	yes		
poke someone's eye out	clitic	2	2	2	1.00	yes		
pull the wool over someone's eyes	clitic	2	2	2	1.00	yes		
push one's way	clitic	2	2	2	1.00	yes		
put out of one's head	clitic	2	2	2	1.00	yes		
